cbsa_code,cbsa_title,msa_block_id,msa_block_compact_id,block_population_count,block_msa_count,block_game_count,is_sparse_block,recommended_for_matching
19580,"Defiance, OH",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
20820,"Effingham, IL",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
22780,"Fort Leonard Wood, MO",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
23300,"Freeport, IL",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
23660,"Galesburg, IL",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
24330,"Grand Rapids, MN",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
24600,"Greencastle, IN",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
24820,"Greenville, OH",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
25300,"Hannibal, MO",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
25580,"Hastings, NE",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
25880,"Hillsdale, MI",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
26340,"Houghton, MI",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
27300,"Jacksonville, IL",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
27540,"Jasper, IN",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
28260,"Kearney, NE",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
28340,"Kendallville, IN",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
30900,"Logansport, IN",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
32260,"Marshalltown, IA",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
32380,"Mason City, IA",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
32860,"Menomonie, WI",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
34500,"Mount Vernon, IL",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
34700,"Muscatine, IA",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
35220,"New Castle, IN",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
35740,"Norfolk, NE",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
38260,"Pittsburg, KS",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
38420,"Platteville, WI",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
38500,"Plymouth, IN",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
38740,"Poplar Bluff, MO",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
39860,"Red Wing, MN",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
39960,"Rice Lake, WI",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
40300,"Rochelle, IL",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
40620,"Rolla, MO",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
42300,"Sault Ste. Marie, MI",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
42740,"Sedalia, MO",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
42980,"Seymour, IN",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
43020,"Shawano, WI",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
43380,"Sidney, OH",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
43460,"Sikeston, MO",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
43890,"Sparta, WI",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
